CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
308,Grenada,567,Y,"Proportion of land area covered by forest, percentage",50,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,50,,C, , , , , , , , , , , , ,50,,C, , , , , , , , , , , , ,50,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
308,Grenada,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",110,,G,113.7,,G,121,,G,124.7,,G,143,,G,154,,G,157.7,,G,172.3,,G,176,,G,194.4,,G,190.7,,G,194.4,,G,205.4,,G,216.4,,G,205.4,,G,216.4,,G,231,,G,238.4,,G,260.4,,G,253,,G,260.4,,G,253,,G, , , , , , , , , , , , , , , , , , , , , , , , 
308,Grenada,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.05,,C, , , , , , , , , , , , , , , 
312,Guadeloupe,567,Y,"Proportion of land area covered by forest, percentage",41.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,40.6,,C, , , , , , , , , , , , ,40,,C, , , , , , , , , , , , ,39.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
312,Guadeloupe,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1294.5,,G,1360.5,,G,1426.5,,G,1452.1,,G,1496.1,,G,1518.1,,G,1525.5,,G,1543.8,,G,1525.5,,G,1587.8,,G,2075.5,,G,2093.9,,G,2027.9,,G,2046.2,,G,1833.5,,G,1716.2,,G,1708.8,,G,1741.8,,G,1738.2,,G,1738.2,,G,1738.2,,G,1774.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
312,Guadeloupe,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.54,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.61,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.62,,C, , , , , , , , , , , , , , , 
316,Guam,567,Y,"Proportion of land area covered by forest, percentage",47.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,47.3,,C, , , , , , , , , , , , ,47.3,,C, , , , , , , , , , , , ,47.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
316,Guam,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
316,Guam,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.19,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.19,,C, , , , , , , , , , , , , , , 
320,Guatemala,567,Y,"Proportion of land area covered by forest, percentage",43.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,38.8,,C, , , , , , , , , , , , ,36.3,,C, , , , , , , , , , , , ,33.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
320,Guatemala,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",5086.1,,G,5053.1,,G,6017.5,,G,5658.2,,G,6839,,G,7165.3,,G,6651.9,,G,7598,,G,8753.1,,G,8929.1,,G,9915.6,,G,10627,,G,11096.3,,G,10502.3,,G,11620.7,,G,12453.1,,G,12526.5,,G,12636.5,,G,11441,,G,12467.8,,G,11367.7,,G,11257.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
320,Guatemala,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",12.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.62,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15.72,,C, , , , , , , , , , , , , , , 
324,Guinea,567,Y,"Proportion of land area covered by forest, percentage",29.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.1,,C, , , , , , , , , , , , ,27.4,,C, , , , , , , , , , , , ,26.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
324,Guinea,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1056.1,,G,1074.4,,G,1074.4,,G,1103.8,,G,1228.4,,G,1250.4,,G,1272.4,,G,1279.8,,G,1243.1,,G,1272.4,,G,1279.8,,G,1298.1,,G,1323.8,,G,1342.1,,G,1342.1,,G,1180.8,,G,1180.8,,G,1210.1,,G,1998.5,,G,2108.5,,G,2486.2,,G,2596.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
324,Guinea,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.69,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.16,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.34,,C, , , , , , , , , , , , , , , 
624,Guinea-Bissau,567,Y,"Proportion of land area covered by forest, percentage",78.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,75.4,,C, , , , , , , , , , , , ,73.7,,C, , , , , , , , , , , , ,71.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
624,Guinea-Bissau,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",253,,G,256.7,,G,260.4,,G,278.7,,G,278.7,,G,282.4,,G,286,,G,264,,G,172.3,,G,194.4,,G,146.7,,G,150.3,,G,154,,G,194.4,,G,201.7,,G,212.7,,G,216.4,,G,231,,G,227.4,,G,234.7,,G,238.4,,G,245.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
624,Guinea-Bissau,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.39,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.32,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.38,,C, , , , , , , , , , , , , , , 
328,Guyana,567,Y,"Proportion of land area covered by forest, percentage",77.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,77.2,,C, , , , , , , , , , , , ,77.2,,C, , , , , , , , , , , , ,77.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
328,Guyana,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1140.4,,G,1122.1,,G,1052.4,,G,1052.4,,G,1393.5,,G,1474.1,,G,1529.1,,G,1598.8,,G,1657.5,,G,1679.5,,G,1609.8,,G,1595.1,,G,1580.5,,G,1565.8,,G,1628.1,,G,1437.5,,G,1290.8,,G,1562.1,,G,1558.5,,G,1565.8,,G,1719.8,,G,1782.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
328,Guyana,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.27,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.28,,C, , , , , , , , , , , , , , , 
332,Haiti,567,Y,"Proportion of land area covered by forest, percentage",4.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,,C, , , , , , , , , , , , ,3.8,,C, , , , , , , , , , , , ,3.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
332,Haiti,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",993.8,,G,997.4,,G,909.4,,G,663.7,,G,300.7,,G,902.1,,G,1034.1,,G,1367.8,,G,1232.1,,G,1331.1,,G,1367.8,,G,1569.5,,G,1826.2,,G,1734.5,,G,1987.5,,G,2075.5,,G,2112.2,,G,2390.9,,G,2427.6,,G,2262.5,,G,2119.5,,G,2211.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
332,Haiti,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.06,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.06,,C, , , , , , , , , , , , , , , 
340,Honduras,567,Y,"Proportion of land area covered by forest, percentage",72.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,57.1,,C, , , , , , , , , , , , ,51.8,,C, , , , , , , , , , , , ,46.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
340,Honduras,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",2592.6,,G,2698.9,,G,3076.6,,G,2849.3,,G,3337,,G,3879.7,,G,3960.4,,G,4158.4,,G,4649.8,,G,4741.4,,G,5031.1,,G,5713.2,,G,6090.9,,G,6769.3,,G,7367,,G,7554,,G,7007.6,,G,8778.8,,G,8672.5,,G,7814.4,,G,8107.7,,G,8412.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
340,Honduras,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.89,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.71,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.78,,C, , , , , , , , , , , , , , , 
348,Hungary,567,Y,"Proportion of land area covered by forest, percentage",20,4,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,21.3,4,C, , , , , , , , , , , , ,22.1,4,C, , , , , , , , , , , , ,22.6,4,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
348,Hungary,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",69614.3,,G,66585.4,,G,60388.2,,G,61910,,G,58892,,G,60369.8,,G,62060.3,,G,60890.5,,G,59163.4,,G,58796.7,,G,55811.7,,G,56955.8,,G,56094.1,,G,59064.4,,G,57458.2,,G,58019.3,,G,57388.6,,G,56035.4,,G,54843.7,,G,48782.1,,G,50747.6,,G,48492.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
348,Hungary,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",6.12,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.45,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.55,,C, , , , , , , , , , , , , , , 
352,Iceland,567,Y,"Proportion of land area covered by forest, percentage",0.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.2,,C, , , , , , , , , , , , ,0.2,,C, , , , , , , , , , , , ,0.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
352,Iceland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1998.5,,G,1767.5,,G,1818.8,,G,1976.5,,G,2009.5,,G,1947.2,,G,2211.2,,G,2104.9,,G,2101.2,,G,2068.2,,G,2163.5,,G,2101.2,,G,2170.9,,G,2167.2,,G,2233.2,,G,2203.9,,G,2277.2,,G,2310.2,,G,2119.5,,G,2053.5,,G,1961.8,,G,1881.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
352,Iceland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.33,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.67,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.32,,C, , , , , , , , , , , , , , , 
356,India,567,Y,"Proportion of land area covered by forest, percentage",21.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,,C, , , , , , , , , , , , ,22.8,,C, , , , , , , , , , , , ,23,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
356,India,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",690576.8,,G,737851.7,,G,783634.2,,G,814297.7,,G,864931.6,,G,920046.6,,G,1002224.1,,G,1043939.9,,G,1071911.8,,G,1144390,,G,1186663.2,,G,1203843.1,,G,1226791.2,,G,1281913.5,,G,1348524.6,,G,1411127.6,,G,1504364.7,,G,1611199.1,,G,1793075,,G,1965820,,G,1950950.3,,G,2074344.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
356,India,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.74,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.95,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.13,,C, , , , , , , , , , , , , , , 
360,Indonesia,567,Y,"Proportion of land area covered by forest, percentage",65.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,54.9,,C, , , , , , , , , , , , ,54,,C, , , , , , , , , , , , ,52.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
360,Indonesia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",149565.9,,G,179730.7,,G,202576.1,,G,218600.9,,G,221413.5,,G,224941.1,,G,253290.7,,G,278659,,G,210210.8,,G,241989,,G,263418.9,,G,294907.5,,G,306737.2,,G,316792.1,,G,337635.4,,G,341991.8,,G,345119.7,,G,375544.8,,G,412387.2,,G,453105.5,,G,436981.7,,G,563984.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
360,Indonesia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.62,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.71,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.01,,C, , , , , , , , , , , , , , , 
364,Iran (Islamic Republic of),567,Y,"Proportion of land area covered by forest, percentage",6.8,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.8,,E, , , , , , , , , , , , ,6.8,,E, , , , , , , , , , , , ,6.8,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
364,Iran (Islamic Republic of),749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",211134.9,,G,228036.1,,G,229073.8,,G,237768.3,,G,265824.5,,G,273528.9,,G,276726.5,,G,269979.2,,G,309230.8,,G,382713.8,,G,372702.9,,G,398826.6,,G,402178.2,,G,418859.4,,G,447480.3,,G,469328.3,,G,509889,,G,521187,,G,546394,,G,557039.3,,G,571604.6,,G,586599,,G, , , , , , , , , , , , , , , , , , , , , , , , 
364,Iran (Islamic Republic of),616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.12,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.52,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.69,,C, , , , , , , , , , , , , , , 
368,Iraq,567,Y,"Proportion of land area covered by forest, percentage",1.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.9,,C, , , , , , , , , , , , ,1.9,,C, , , , , , , , , , , , ,1.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
368,Iraq,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",52555.4,,G,47421.6,,G,61671.6,,G,66801.7,,G,75045.2,,G,77901.7,,G,69500.7,,G,68308.9,,G,72371.9,,G,72283.9,,G,72445.3,,G,85342.1,,G,87259.9,,G,91117.6,,G,114084,,G,113523,,G,98770.6,,G,62155.7,,G,93149.1,,G,104296.8,,G,111447.5,,G,133654.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
368,Iraq,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.05,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.05,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.38,,C, , , , , , , , , , , , , , , 
372,Ireland,567,Y,"Proportion of land area covered by forest, percentage",6.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.2,,C, , , , , , , , , , , , ,10.1,,C, , , , , , , , , , , , ,10.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
372,Ireland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",31242.8,,G,31422.5,,G,31022.8,,G,31275.8,,G,32669.3,,G,32959,,G,34909.8,,G,36424.3,,G,38565.8,,G,40139,,G,41235.4,,G,44026,,G,43619,,G,43200.9,,G,43820.7,,G,43512.6,,G,43292.6,,G,44715.4,,G,42771.9,,G,40326,,G,40175.7,,G,36068.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
372,Ireland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.07,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.48,,C, , , , , , , , , , , , , , , 
376,Israel,567,Y,"Proportion of land area covered by forest, percentage",6.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.1,,C, , , , , , , , , , , , ,7.2,,C, , , , , , , , , , , , ,7.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
376,Israel,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",36538,,G,37022,,G,43076.2,,G,45393.8,,G,48705.1,,G,51473.7,,G,53435.5,,G,56259.1,,G,57472.9,,G,56090.4,,G,60263.5,,G,63600.4,,G,59819.8,,G,62896.4,,G,59086.4,,G,57036.5,,G,62584.7,,G,62826.7,,G,68268.5,,G,64473.2,,G,68891.9,,G,69522.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
376,Israel,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.22,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.53,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.62,,C, , , , , , , , , , , , , , , 
380,Italy,567,Y,"Proportion of land area covered by forest, percentage",25.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.5,,C, , , , , , , , , , , , ,29.8,,C, , , , , , , , , , , , ,31.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
380,Italy,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",417550.3,,G,423894.2,,G,420535.2,,G,411917.8,,G,407378,,G,430483.8,,G,425830.4,,G,430487.5,,G,440153.7,,G,441998.2,,G,450564.3,,G,450347.9,,G,452610.5,,G,468349.2,,G,473970.8,,G,473384,,G,469346.7,,G,462676.4,,G,447187,,G,401591.5,,G,405361.2,,G,397994.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
380,Italy,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.87,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.32,,C, , , , , , , , , , , , , , , 
388,Jamaica,567,Y,"Proportion of land area covered by forest, percentage",31.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,31.5,,C, , , , , , , , , , , , ,31.3,,C, , , , , , , , , , , , ,31.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
388,Jamaica,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",7964.7,,G,8173.7,,G,8096.7,,G,8415.8,,G,8632.1,,G,9702.9,,G,10197.9,,G,10630.6,,G,9728.6,,G,9772.6,,G,10318.9,,G,10627,,G,10300.6,,G,10722.3,,G,10715,,G,10645.3,,G,12020.4,,G,13479.9,,G,11961.8,,G,8591.8,,G,7191,,G,7755.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
388,Jamaica,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.43,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.39,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.4,,C, , , , , , , , , , , , , , , 
392,Japan,567,Y,"Proportion of land area covered by forest, percentage",68.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,68.2,,C, , , , , , , , , , , , ,68.4,,C, , , , , , , , , , , , ,68.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
392,Japan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1094287.8,,G,1099883.6,,G,1123000.4,,G,1108248.1,,G,1173883.7,,G,1183755.3,,G,1205408.9,,G,1201378.9,,G,1158779.3,,G,1197873.2,,G,1219453.5,,G,1202181.9,,G,1216725.3,,G,1237344.8,,G,1259328.5,,G,1237623.5,,G,1230898.2,,G,1250758.7,,G,1206732.7,,G,1101027.8,,G,1168918.6,,G,1187657,,G, , , , , , , , , , , , , , , , , , , , , , , , 
392,Japan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.97,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.09,,C, , , , , , , , , , , , , , , 
400,Jordan,567,Y,"Proportion of land area covered by forest, percentage",1.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.1,,C, , , , , , , , , , , , ,1.1,,C, , , , , , , , , , , , ,1.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
400,Jordan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",10403.3,,G,9798.2,,G,12266.1,,G,12101.1,,G,13633.9,,G,13556.9,,G,14187.6,,G,14418.6,,G,14543.3,,G,14569,,G,15507.7,,G,16002.8,,G,16886.5,,G,17469.6,,G,19240.7,,G,21059.6,,G,21121.9,,G,22035,,G,21349.3,,G,21892,,G,21180.6,,G,22258.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
400,Jordan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.05,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.13,,C, , , , , , , , , , , , , , , 
398,Kazakhstan,567,Y,"Proportion of land area covered by forest, percentage",1.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.2,,E, , , , , , , , , , , , ,1.2,,E, , , , , , , , , , , , ,1.2,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
398,Kazakhstan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,261306.8,,G,221105.4,,G,199488.5,,G,166731.2,,G,140691.8,,G,129580.8,,G,125063,,G,116493.3,,G,127769.3,,G,147908.4,,G,151945.8,,G,153816,,G,172158.3,,G,176947.4,,G,192532.2,,G,220203.4,,G,229774.2,,G,214189.5,,G,247214.5,,G,261761.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
398,Kazakhstan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.41,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.52,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.29,,C, , , , , , , , , , , , , , , 
404,Kenya,567,Y,"Proportion of land area covered by forest, percentage",6.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,6.3,,C, , , , , , , , , , , , ,6.2,,C, , , , , , , , , , , , ,6.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
404,Kenya,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",5823.2,,G,4840.4,,G,5540.8,,G,6347.6,,G,6556.6,,G,7554,,G,9328.8,,G,8265.4,,G,10036.6,,G,10172.3,,G,10417.9,,G,9369.2,,G,7968.4,,G,6754.6,,G,7623.7,,G,8562.4,,G,9574.5,,G,9831.2,,G,10241.9,,G,12350.5,,G,12420.1,,G,13567.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
404,Kenya,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",9.67,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.57,,C, , , , , , , , , , , , , , , 
296,Kiribati,567,Y,"Proportion of land area covered by forest, percentage",14.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.8,,C, , , , , , , , , , , , ,14.8,,C, , , , , , , , , , , , ,14.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
296,Kiribati,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",22,,G,22,,G,22,,G,22,,G,22,,G,22,,G,36.7,,G,29.3,,G,33,,G,29.3,,G,33,,G,25.7,,G,40.3,,G,40.3,,G,44,,G,62.3,,G,69.7,,G,51.3,,G,55,,G,40.3,,G,62.3,,G,62.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
